172.64.47.140:2053 ping=190ms
172.65.93.212:2053 ping=190ms
172.67.235.227:2096 ping=190ms
108.162.198.108:2096 ping=191ms
104.19.80.137:2087 ping=191ms
104.27.64.34:2083 ping=191ms
172.65.12.182:2096 ping=191ms
172.64.230.57:8443 ping=191ms
188.114.97.193:8443 ping=193ms
104.24.16.18:2087 ping=193ms
104.25.32.13:2083 ping=194ms
104.25.32.13:2087 ping=194ms
173.245.58.147:8443 ping=195ms
104.24.129.138:2096 ping=195ms
188.114.97.193:2096 ping=196ms
188.114.98.57:2087 ping=196ms
172.67.235.227:2087 ping=196ms
104.25.32.13:2053 ping=197ms
141.101.115.5:2053 ping=198ms
108.162.193.255:2083 ping=198ms
198.41.201.23:2083 ping=198ms
104.18.136.145:2083 ping=198ms
104.24.16.18:443 ping=198ms
104.17.191.32:2087 ping=198ms
172.65.12.182:2053 ping=198ms
172.66.216.112:2083 ping=198ms
172.65.214.173:443 ping=198ms
172.65.58.181:2083 ping=198ms
173.245.58.114:2087 ping=199ms
173.245.59.63:2087 ping=199ms
108.162.196.210:2083 ping=199ms
108.162.192.112:2083 ping=199ms
190.93.244.76:2053 ping=199ms
190.93.245.196:8443 ping=199ms
188.114.99.121:2087 ping=199ms
188.114.99.121:2096 ping=199ms
188.114.98.57:8443 ping=199ms
188.114.97.93:8443 ping=199ms
188.114.97.80:2053 ping=199ms
198.41.201.23:8443 ping=199ms
162.159.143.90:2053 ping=199ms
162.159.159.122:2096 ping=199ms
104.21.86.163:2087 ping=199ms
104.17.15.133:8443 ping=199ms
104.16.20.189:2087 ping=199ms
104.21.110.178:8443 ping=199ms
104.24.11.154:2087 ping=199ms
104.24.221.184:2096 ping=199ms
104.27.39.137:443 ping=199ms
104.27.39.137:2096 ping=199ms
104.24.134.214:8443 ping=199ms
172.65.251.238:2083 ping=199ms
172.65.251.238:2087 ping=199ms
172.65.93.212:8443 ping=199ms
172.67.235.227:2053 ping=199ms
173.245.58.114:2096 ping=200ms
108.162.192.112:8443 ping=200ms
188.114.97.193:2083 ping=200ms
162.159.130.179:2087 ping=200ms
162.159.58.198:8443 ping=200ms
162.159.16.99:2096 ping=200ms
104.24.129.138:2053 ping=200ms
104.25.32.13:8443 ping=200ms
104.27.122.94:2053 ping=200ms
190.93.244.76:8443 ping=201ms
188.114.98.76:2096 ping=201ms
104.16.52.110:2053 ping=201ms
172.65.58.181:2087 ping=201ms
108.162.193.255:2096 ping=202ms
198.41.195.85:2087 ping=203ms
172.64.188.188:8443 ping=203ms
104.25.67.66:443 ping=205ms
190.93.244.105:8443 ping=208ms
104.16.52.110:443 ping=209ms
104.21.110.178:2083 ping=209ms
190.93.244.105:2096 ping=210ms
188.114.98.54:8443 ping=210ms
104.24.63.243:2083 ping=210ms
104.27.65.65:443 ping=212ms
188.114.98.57:2053 ping=214ms
104.21.86.163:443 ping=215ms
108.162.198.108:2083 ping=219ms
104.17.200.89:8443 ping=220ms
104.18.69.34:2053 ping=221ms
104.24.240.218:443 ping=227ms
188.114.97.37:2083 ping=228ms
108.162.193.176:443 ping=233ms
103.31.4.195:2083 ping=238ms
162.159.132.93:443 ping=238ms
104.21.59.160:443 ping=240ms
173.245.49.232:443 ping=244ms
103.31.4.129:8443 ping=249ms
103.31.4.195:2096 ping=250ms
103.31.4.129:2083 ping=252ms
103.31.4.86:2096 ping=253ms
172.65.58.181:443 ping=253ms
103.31.4.63:2096 ping=256ms
104.24.63.243:443 ping=256ms
103.31.4.195:2053 ping=259ms
103.31.4.86:2053 ping=259ms
103.31.4.97:2083 ping=259ms
103.31.4.129:2096 ping=259ms
103.31.4.97:2096 ping=260ms
103.31.4.97:8443 ping=261ms
103.31.4.97:2087 ping=268ms
103.31.4.86:2083 ping=269ms
103.31.4.63:2053 ping=269ms
103.31.4.63:8443 ping=269ms
103.31.4.129:2087 ping=269ms
103.31.4.195:2087 ping=270ms
103.31.4.97:2053 ping=270ms
103.31.4.195:8443 ping=271ms
103.31.4.63:2087 ping=272ms
103.31.4.86:2087 ping=276ms
103.31.4.63:2083 ping=278ms
198.41.223.115:443 ping=278ms
198.41.218.37:2096 ping=279ms
198.41.218.37:8443 ping=280ms
104.17.40.123:443 ping=280ms
188.114.98.76:443 ping=283ms
198.41.218.37:2053 ping=285ms
162.159.130.179:443 ping=288ms
103.31.4.86:8443 ping=289ms
190.93.244.76:443 ping=289ms
198.41.218.37:2083 ping=290ms
103.31.4.129:2053 ping=297ms
198.41.218.37:2087 ping=299ms
